GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmpCrud,com.example.demo.payload.response,JwtResponse,59,0,0,0,24,0,12,0,12,0
EmpCrud,com.example.demo.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
EmpCrud,com.example.demo.controller.filemanagement,DashController,3,0,0,0,1,0,1,0,1,0
EmpCrud,com.example.demo.controller.filemanagement,FileController,63,7,0,0,8,2,7,2,7,2
EmpCrud,com.example.demo.model.defect,Comments,31,0,0,0,13,0,9,0,9,0
EmpCrud,com.example.demo.model.defect,Defect,52,0,0,0,22,0,15,0,15,0
EmpCrud,com.example.demo.model.defect,Status,24,0,0,0,10,0,7,0,7,0
EmpCrud,com.example.demo.service.projectcreation,ProjectService,268,6,18,0,56,3,17,1,8,1
EmpCrud,com.example.demo.controller.projectcreation,ProjectCreationController,61,3,0,0,11,1,7,1,7,1
EmpCrud,com.example.demo.security,WebSecurityConfig,0,71,0,0,0,14,0,6,0,6
EmpCrud,com.example.demo.model.projectcreation,ProjectModel,90,0,0,0,34,0,20,0,20,0
EmpCrud,com.example.demo.model.projectcreation,Counter,44,0,0,0,16,0,9,0,9,0
EmpCrud,com.example.demo.model.projectcreation,RequirementModel,24,0,0,0,10,0,7,0,7,0
EmpCrud,com.example.demo.controller.rolemanagement,TestController,8,3,0,0,4,1,4,1,4,1
EmpCrud,com.example.demo.controller.rolemanagement,AuthController,197,3,9,0,44,1,13,1,8,1
EmpCrud,com.example.demo.controller.defect,DefectController,46,6,0,0,9,3,8,1,8,1
EmpCrud,com.example.demo.service.filemangement,DashService,0,27,0,0,0,7,0,3,0,3
EmpCrud,com.example.demo.service.filemangement,FileStorageService,3,0,0,0,1,0,1,0,1,0
EmpCrud,com.example.demo.service.filemangement,FileService,54,152,2,2,7,28,3,7,1,7
EmpCrud,com.example.demo.security.jwt,JwtUtils,85,7,0,0,22,2,3,2,3,2
EmpCrud,com.example.demo.security.jwt,AuthTokenFilter,69,7,8,0,16,2,6,2,2,2
EmpCrud,com.example.demo.security.jwt,AuthEntryPointJwt,10,7,0,0,3,2,1,2,1,2
EmpCrud,com.example.demo.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
EmpCrud,com.example.demo.exception,GlobalExceptionHandler,21,3,0,0,5,1,1,1,1,1
EmpCrud,com.example.demo.exception,ExceptionResponse,24,0,0,0,10,0,7,0,7,0
EmpCrud,com.example.demo.service.defect,SequenceGenService,32,3,0,0,4,1,1,1,1,1
EmpCrud,com.example.demo.service.defect,DefectService,385,14,4,0,79,5,11,1,9,1
EmpCrud,com.example.demo.service.defect,IdGen,19,0,0,0,8,0,6,0,6,0
EmpCrud,com.example.demo.service.defect,ValidationService,131,0,16,0,27,0,13,0,5,0
EmpCrud,com.example.demo.security.services,UserDetailsServiceImpl,18,3,0,0,3,1,2,1,2,1
EmpCrud,com.example.demo.security.services,UserDetailsImpl,93,0,6,0,30,0,16,0,13,0
EmpCrud,com.example.demo.payload.request,LoginRequest,17,0,0,0,7,0,5,0,5,0
EmpCrud,com.example.demo.payload.request,SignupRequest,31,0,0,0,13,0,9,0,9,0
EmpCrud,com.example.demo.constants,Constants,3,0,0,0,1,0,1,0,1,0
EmpCrud,com.example.demo.schedulers,ScheduledTasks,0,38,0,0,0,11,0,3,0,3
EmpCrud,com.example.demo.model.filemanagement,FileStorageProperties,10,0,0,0,4,0,3,0,3,0
EmpCrud,com.example.demo.model.filemanagement,FileSubDocument,33,23,0,0,12,12,6,6,6,6
EmpCrud,com.example.demo.model.filemanagement,FileModel,9,17,0,0,4,8,1,5,1,5
EmpCrud,com.example.demo.model.filemanagement,FileCount,0,26,0,0,0,12,0,6,0,6
EmpCrud,com.example.demo.controller.testcase,TestCaseController,37,3,0,0,7,1,5,1,5,1
EmpCrud,com.example.demo.model.testcase,TestCaseModel,66,0,0,0,28,0,19,0,19,0
EmpCrud,com.example.demo.model.testcase,TestCaseCounter,17,0,0,0,8,0,5,0,5,0
EmpCrud,com.example.demo.service.testcase,TestCaseService,121,6,16,0,28,3,13,1,5,1
EmpCrud,com.example.demo.utilities,ProjectUtility,16,0,0,0,4,0,2,0,2,0
EmpCrud,com.example.demo.utilities,Cloudinary,3,92,0,0,1,21,1,1,1,1
EmpCrud,com.example.demo.utilities,Dashboard,24,0,0,0,10,0,7,0,7,0
EmpCrud,com.example.demo.utilities,TestCaseUtility,16,0,0,0,4,0,2,0,2,0
EmpCrud,com.example.demo.utilities,Timestamp,93,0,0,0,30,0,11,0,11,0
EmpCrud,com.example.demo,EmpCrudApplication,5,7,0,0,2,2,1,2,1,2
EmpCrud,com.example.demo.model.rolemanagement,User,60,0,0,0,22,0,12,0,12,0
EmpCrud,com.example.demo.model.rolemanagement,ERole,0,21,0,0,0,2,0,1,0,1
EmpCrud,com.example.demo.model.rolemanagement,Role,19,0,0,0,8,0,5,0,5,0
